"REF_DATE","GEO","DGUID","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994-10","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.581","","","","3"
"1994-10","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","3.433","","","","3"
"1994-11","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","9.912","","","","3"
"1994-11","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","4.668","","","","3"
"1994-11","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","5.244","","","","3"
"1994-12","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","11.295","","","","3"
"1994-12","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.411","","","","3"
"1994-12","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","5.884","","","","3"
"1995-01","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","11.209","","","","3"
"1995-01","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.744","","","","3"
"1995-01","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","5.465","","","","3"
"1995-02","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","8.592","","","","3"
"1995-02","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","5.475","","","","3"
"1995-02","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","3.117","","","","3"
"1995-03","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","7.120","","","","3"
"1995-03","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","4.312","","","","3"
"1995-03","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","2.808","","","","3"
"1995-04","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","12.928","","","","3"
"1995-04","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","4.154","","","","3"
"1995-04","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","8.774","","","","3"
"1995-05","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","8.475","","","","3"
"1995-05","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","3.606","","","","3"
"1995-05","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","4.869","","","","3"
"1995-06","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","6.209","","","","3"
"1995-06","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","3.378","","","","3"
"1995-06","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","2.831","","","","3"
"1995-07","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","6.726","","","","3"
"1995-07","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","3.567","","","","3"
"1995-07","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","3.159","","","","3"
"1995-08","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","6.597","","","","3"
"1995-08","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","3.577","","","","3"
"1995-08","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","3.020","","","","3"
"1995-09","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","5.253","","","","3"
"1995-09","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","3.570","","","","3"
"1995-09","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","1.683","","","","3"
"1995-10","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","7.812","","","","3"
"1995-10","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","3.925","","","","3"
"1995-10","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","3.887","","","","3"
"1995-11","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","5.595","","","","3"
"1995-11","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","3.341","","","","3"
"1995-11","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","2.254","","","","3"
"1995-12","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","5.931","","","","3"
"1995-12","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","3.715","","","","3"
"1995-12","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","2.216","","","","3"
"1996-01","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","5.315","","","","3"
"1996-01","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","3.015","","","","3"
"1996-01","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","2.300","","","","3"
"1996-02","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","4.347","","","","3"
"1996-02","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","2.846","","","","3"
"1996-02","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","1.501","","","","3"
"1996-03","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","6.533","","","","3"
"1996-03","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","2.992","","","","3"
"1996-03","Montréal, Quebec","2011S0503462","Multiples","Units","300","thousands","3","v52299976","8.3","3.541","","","","3"
"1996-04","Montréal, Quebec","2011S0503462","Total units","Units","300","thousands","3","v52299974","8.1","7.766","","","","3"
"1996-04","Montréal, Quebec","2011S0503462","Single-detached units","Units","300","thousands","3","v52299975","8.2","3.580","","","","3"
